country,year,sex,age,suicides_no,population,suicide_rate
Croatia,2005,female,75+ years,45,190621,23.60705274
Croatia,2005,male,15-24 years,39,297901,13.09159754
Croatia,2005,male,25-34 years,58,306107,18.94762289
Croatia,2005,male,35-54 years,227,643382,35.28230507
Croatia,2005,male,5-14 years,2,256833,0.778716131
Croatia,2005,male,55-74 years,247,436810,56.54632449
Croatia,2005,male,75+ years,78,91654,85.10266873
Croatia,2006,female,15-24 years,11,282298,3.896591545
Croatia,2006,female,25-34 years,6,302776,1.981663012
Croatia,2006,female,35-54 years,67,644066,10.4026606
Croatia,2006,female,5-14 years,1,240427,0.415926664
Croatia,2006,female,55-74 years,90,534005,16.85377478
Croatia,2006,female,75+ years,48,197868,24.25859664
Croatia,2006,male,15-24 years,49,293976,16.66802732
Croatia,2006,male,25-34 years,58,310163,18.69984492
Croatia,2006,male,35-54 years,207,639665,32.3606888
Croatia,2006,male,5-14 years,2,252215,0.792974248
Croatia,2006,male,55-74 years,178,440525,40.40633335
Croatia,2006,male,75+ years,79,96962,81.4752171
Croatia,2007,female,15-24 years,11,277133,3.969213338
Croatia,2007,female,25-34 years,11,303954,3.61896866
Croatia,2007,female,35-54 years,45,642644,7.002321659
Croatia,2007,female,5-14 years,2,236481,0.845733907
Croatia,2007,female,55-74 years,84,533554,15.74348613
Croatia,2007,female,75+ years,45,204595,21.9946724
Croatia,2007,male,15-24 years,34,289325,11.75149054
Croatia,2007,male,25-34 years,52,312108,16.66089943
Croatia,2007,male,35-54 years,198,637678,31.05015384
Croatia,2007,male,5-14 years,2,247780,0.807167649
Croatia,2007,male,55-74 years,206,443939,46.40277155
Croatia,2007,male,75+ years,85,101664,83.60875039
Croatia,2008,female,15-24 years,7,272369,2.570042846
Croatia,2008,female,25-34 years,9,305383,2.947118864
Croatia,2008,female,35-54 years,47,638100,7.365616675
Croatia,2008,female,5-14 years,1,231806,0.431395218
Croatia,2008,female,55-74 years,72,536698,13.41536581
Croatia,2008,female,75+ years,48,210591,22.79299685
Croatia,2008,male,15-24 years,40,284857,14.04213342
Croatia,2008,male,25-34 years,49,314031,15.60355506
Croatia,2008,male,35-54 years,202,632952,31.9139524
Croatia,2008,male,5-14 years,3,242691,1.236139783
Croatia,2008,male,55-74 years,200,450580,44.38723423
Croatia,2008,male,75+ years,115,105525,108.9789149
Croatia,2009,female,15-24 years,4,267054,1.49782441
Croatia,2009,female,25-34 years,7,306319,2.285199416
Croatia,2009,female,35-54 years,45,634366,7.093696699
Croatia,2009,female,5-14 years,0,226998,0
Croatia,2009,female,55-74 years,63,537865,11.7129763
Croatia,2009,female,75+ years,53,216621,24.46669529
Croatia,2009,male,15-24 years,45,278610,16.15160978
Croatia,2009,male,25-34 years,44,316164,13.91682798
Croatia,2009,male,35-54 years,220,628629,34.99679461
Croatia,2009,male,5-14 years,3,238176,1.259572753
Croatia,2009,male,55-74 years,199,455148,43.72204206
Croatia,2009,male,75+ years,107,110100,97.18437784
Croatia,2010,female,15-24 years,13,261670,4.968089578
Croatia,2010,female,25-34 years,7,306249,2.285721749
Croatia,2010,female,35-54 years,50,627682,7.965817086
Croatia,2010,female,5-14 years,1,222940,0.44855118
Croatia,2010,female,55-74 years,75,541827,13.8420566
Croatia,2010,female,75+ years,46,221668,20.75175488
Croatia,2010,male,15-24 years,40,272848,14.66017709
Croatia,2010,male,25-34 years,44,316471,13.90332764
Croatia,2010,male,35-54 years,186,621977,29.90464278
Croatia,2010,male,5-14 years,0,234533,0
Croatia,2010,male,55-74 years,215,461893,46.54757704
Croatia,2010,male,75+ years,99,114205,86.68622214
Croatia,2011,female,15-24 years,8,258495,3.094837424
Croatia,2011,female,25-34 years,11,304202,3.616018304
Croatia,2011,female,35-54 years,52,621895,8.361540131
Croatia,2011,female,5-14 years,0,217835,0
Croatia,2011,female,55-74 years,68,545430,12.46722769
Croatia,2011,female,75+ years,43,225925,19.03286489
Croatia,2011,male,15-24 years,24,269755,8.896962058
Croatia,2011,male,25-34 years,63,314331,20.04256659
Croatia,2011,male,35-54 years,148,616577,24.00349024
Croatia,2011,male,5-14 years,2,229413,0.871790178
Croatia,2011,male,55-74 years,188,467142,40.24472216
Croatia,2011,male,75+ years,95,118029,80.48869346
Croatia,2012,female,15-24 years,5,245431,2.03723246
Croatia,2012,female,25-34 years,13,283419,4.586848447
Croatia,2012,female,35-54 years,42,594104,7.069469319
Croatia,2012,female,5-14 years,1,207818,0.481190272
Croatia,2012,female,55-74 years,73,541956,13.46972817
Croatia,2012,female,75+ years,46,232222,19.8086314
Croatia,2012,male,15-24 years,35,256849,13.62668338
Croatia,2012,male,25-34 years,51,294314,17.32843154
Croatia,2012,male,35-54 years,201,591018,34.00911647
Croatia,2012,male,5-14 years,3,219008,1.369812975
Croatia,2012,male,55-74 years,207,465550,44.46353775
Croatia,2012,male,75+ years,99,122607,80.74579755
Croatia,2013,female,15-24 years,6,243263,2.466466335
Croatia,2013,female,25-34 years,9,281138,3.201274819
Croatia,2013,female,35-54 years,48,589432,8.143433
Croatia,2013,female,5-14 years,0,204491,0
Croatia,2013,female,55-74 years,48,544041,8.822864453
Croatia,2013,female,75+ years,35,237107,14.76126812
Croatia,2013,male,15-24 years,41,254643,16.10097273
Croatia,2013,male,25-34 years,59,291832,20.21711121
Croatia,2013,male,35-54 years,186,587482,31.66054449
Croatia,2013,male,5-14 years,1,215702,0.463602563
Croatia,2013,male,55-74 years,174,469173,37.08653311
Croatia,2013,male,75+ years,85,126153,67.37850071
Croatia,2014,female,15-24 years,12,240071,4.998521271
Croatia,2014,female,25-34 years,11,277195,3.968325547
Croatia,2014,female,35-54 years,49,583896,8.391905408
Croatia,2014,female,5-14 years,1,202723,0.493283939
Croatia,2014,female,55-74 years,71,547211,12.97488537
Croatia,2014,female,75+ years,42,240853,17.43802236
Croatia,2014,male,15-24 years,37,251460,14.71406983
Croatia,2014,male,25-34 years,42,287190,14.62446464
Croatia,2014,male,35-54 years,167,582938,28.64798658
Croatia,2014,male,5-14 years,0,213874,0
Croatia,2014,male,55-74 years,193,473836,40.7313923
Croatia,2014,male,75+ years,97,129205,75.07449402
Croatia,2015,female,15-24 years,6,236301,2.539134409
Croatia,2015,female,25-34 years,7,271005,2.582978174
Croatia,2015,female,35-54 years,51,576262,8.850141082
Croatia,2015,female,5-14 years,2,201507,0.992521352
Croatia,2015,female,55-74 years,75,548940,13.66269538
Croatia,2015,female,75+ years,56,243369,23.01032588
Croatia,2015,male,15-24 years,34,247562,13.73393332
Croatia,2015,male,25-34 years,41,280212,14.6317788
Croatia,2015,male,35-54 years,155,575410,26.93731426
Croatia,2015,male,5-14 years,1,212625,0.470311581
Croatia,2015,male,55-74 years,207,476580,43.4344706
Croatia,2015,male,75+ years,104,131896,78.85000303
Croatia,2016,female,15-24 years,6,231038,2.596975389
Croatia,2016,female,25-34 years,6,265327,2.26136051
Croatia,2016,female,35-54 years,47,570380,8.240120621
Croatia,2016,female,5-14 years,0,200036,0
Croatia,2016,female,55-74 years,69,551758,12.50548248
Croatia,2016,female,75+ years,40,246002,16.26003041
Croatia,2016,male,15-24 years,30,242287,12.38200977
Croatia,2016,male,25-34 years,48,274466,17.48850495
Croatia,2016,male,35-54 years,146,571003,25.56904254
Croatia,2016,male,5-14 years,0,211104,0
Croatia,2016,male,55-74 years,187,480263,38.9369991
Croatia,2016,male,75+ years,104,134519,77.31249861
Czech Republic,2000,female,15-24 years,25,763848,3.272902462
Czech Republic,2000,female,25-34 years,26,751117,3.461511322
Czech Republic,2000,female,35-54 years,120,1487345,8.068067597
Czech Republic,2000,female,5-14 years,4,600843,0.665731314
Czech Republic,2000,female,55-74 years,113,1069748,10.56323545
Czech Republic,2000,female,75+ years,63,380114,16.57397518
Czech Republic,2000,male,15-24 years,139,797534,17.42872404
Czech Republic,2000,male,25-34 years,174,783436,22.20985505
Czech Republic,2000,male,35-54 years,546,1490793,36.62480304
Czech Republic,2000,male,5-14 years,8,631794,1.266235513
Czech Republic,2000,male,55-74 years,294,875298,33.5885607
Czech Republic,2000,male,75+ years,137,187872,72.92198944
Czech Republic,2001,female,15-24 years,19,745082,2.550054893
Czech Republic,2001,female,25-34 years,30,772655,3.882716089
Czech Republic,2001,female,35-54 years,129,1476998,8.733931935
Czech Republic,2001,female,5-14 years,2,586157,0.341205513
Czech Republic,2001,female,55-74 years,92,1084169,8.485761906
Czech Republic,2001,female,75+ years,57,387754,14.70004178
Czech Republic,2001,male,15-24 years,133,779015,17.07284199
Czech Republic,2001,male,25-34 years,172,809431,21.24949502
Czech Republic,2001,male,35-54 years,558,1489505,37.4621099
Czech Republic,2001,male,5-14 years,4,617745,0.64751637
